logged_at_utc,scan_type,ticker,yf_first,yf_last,yf_bars,sa_first,sa_last,sa_bars,common_days,sa_staleness_days,close_pct_diff_last,close_pct_diff_max,close_pct_diff_mean,adj_pct_diff_last,adj_pct_diff_max,last_common_date,yf_close,sa_close,sa_adj,yf_volume,sa_volume,volume_pct_diff_last,ohlc_pct_diff_max_last,note
2026-09-16T16:00:42.989042+00:00,mid_session,SYK,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,0.0,0.5354,0.1763,28050.0,35125.0,2026-09-15,281.5,281.5,1.0,3462900,3463160,-0.0075,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,TFC,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,2.0165,1.1211,4945.9999,5224.9998,2026-09-15,50.46,50.46,1.0,10011300,10011690.80635,-0.0039,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,TGT,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,1.6905,0.9176,15339.9994,16888.9999,2026-09-15,154.4,154.4,1.0,3620400,3620802.621661,-0.0111,0.0031,
2026-09-16T16:00:42.989042+00:00,mid_session,TJX,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,0.64,0.3652,12359.9998,16741.0005,2026-09-15,124.6,124.6,1.0,11102000,11105452,-0.0311,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,TMO,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,0.0,0.1767,0.1257,64039.0015,64039.0015,2026-09-15,641.39,641.39,1.0,3022500,3022816,-0.0105,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,TSLA,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,0.0013,0.0,35557.9987,44426.9989,2026-09-15,356.58,356.58,1.0,30272800,30317727.859036,-0.1482,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,TSM,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,0.2684,0.514,0.1165,41275.0,47785.1714,2026-09-15,413.75,412.6425,1.0,9452600,,,0.2684,
2026-09-16T16:00:42.989042+00:00,mid_session,TXN,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,1.0124,0.5196,26242.9993,33128.0002,2026-09-15,263.43,263.43,1.0,4411600,4412265.294661,-0.0151,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,UMBF,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,0.0,0.6791,0.4964,13646.0007,15103.9987,2026-09-15,137.46,137.46,1.0,423400,423399.982847,0.0,0.0036,
2026-09-16T16:00:42.989042+00:00,mid_session,UNH,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,1.1764,0.8823,37492.9993,43535.0023,2026-09-15,375.93,375.93,1.0,4391400,4393582,-0.0497,0.0,
2026-09-16T16:00:42.989042+00:00,mid_session,VRTX,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,0.0,0.0011,0.0,51363.0005,55696.0022,2026-09-15,514.63,514.63,1.0,824800,824890.777909,-0.011,0.0002,
2026-09-16T16:00:42.989042+00:00,mid_session,ZION,2026-03-16,2026-09-16,128,2025-09-15,2026-09-15,252,127,1,-0.0,1.4169,0.7944,6698.9998,7230.9994,2026-09-15,67.99,67.99,1.0,3044300,3044326.050643,-0.0009,0.0074,
2026-09-16T20:30:18.963270+00:00,post_close,ABBV,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.5237,0.585,26151.001,26497.0001,2026-09-16,262.51,262.51,1.0,2978675,2153770.484423,38.3005,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,ABT,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,1.3272,0.5547,10136.0001,11566.9998,2026-09-16,102.36,102.36,1.0,5096596,3342706.518144,52.4691,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,ADI,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.5761,0.3911,36104.0009,44448.0007,2026-09-16,362.04,362.04,1.0,3050684,2149685.650343,41.913,0.0,
2026-09-16T20:30:18.963270+00:00,post_close,AMAT,2026-03-17,2026-09-16,127,2025-09-16,2026-09-16,252,127,0,0.0,0.2309,0.1357,41438.0005,72200.0018,2026-09-16,415.38,415.38,1.0,5463072,3797604.835919,43.8557,0.0,
